Year,Seaport,Country,Region,Region (with China),"Reclaimed area (km^2, raw)",TEU (millions)
2017,Shanghai,China,Asia,China,50.05,40.23
2017,Shenzhen,China,Asia,China,32.02,25.21
2017,Singapore,Singapore,Asia,Asia,53.91,33.67
2017,Sydney,Australia,Oceania,Oceania,1.37,2.53
2017,Tanger Med,Morocco,Mediterranean,Mediterranean,2.15,3.31
2017,Tangshan,China,Asia,China,44.73,2.53
2017,Tanjung Pelepas,Malaysia,Asia,Asia,3.71,8.26
2017,Tanjung Perak,Indonesia,Asia,Asia,3.5,6.09
2017,Tanjung Priok,Indonesia,Asia,Asia,2.94,6.09
2017,Tianjin,China,Asia,China,177.92,15
2017,Tokyo,Japan,Asia,Asia,11.51,4.5
2017,Valencia,Spain,Mediterranean,Mediterranean,4.68,4.83
2017,Xiamen,China,Asia,China,4.13,10.38
2017,Yantai,China,Asia,China,3.28,2.7
2017,Yingkou,China,Asia,China,51.72,6.28
2018,Algeciras,Spain,Mediterranean,Mediterranean,2.82,4.77
2018,Barcelona,Spain,Mediterranean,Mediterranean,3.46,3.42
2018,Busan,South Korea,Asia,Asia,16.41,21.66
2018,Colombo,Sri Lanka,Asia,Asia,4.08,7.05
2018,Dalian,China,Asia,China,18.96,9.77
2018,Dubai,UAE,Middle East,Middle East,4.93,14.95
2018,Felixstowe,UK,Northern Europe,Northern Europe,1.93,3.93
2018,Genoa,Italy,Mediterranean,Mediterranean,1.48,2.67
2018,Guangzhou,China,Asia,China,30.24,21.87
2018,Hong Kong,China,Asia,China,4.35,19.6
2018,Incheon,South Korea,Asia,Asia,13.86,3
2018,Jawaharlal Nehru,India,Asia,Asia,2.87,5.13
2018,Jeddah,Saudi Arabia,Middle East,Middle East,4.86,4.11
2018,Karachi,Pakistan,Asia,Asia,5.21,2.19
2018,Kobe,Japan,Asia,Asia,8.01,2.94
2018,Laem Chabang,Thailand,Asia,Asia,8.64,8.07
2018,Le Havre,France,Northern Europe,Northern Europe,2.65,2.87
2018,Lianyungang,China,Asia,China,44.22,4.75
2018,Los Angeles,USA,North America,North America,2.08,9.46
2018,Manila,Philippines,Asia,Asia,2.37,5.05
2018,Mundra,India,Asia,Asia,15.54,4.44
2018,Nagoya,Japan,Asia,Asia,6.84,2.87
2018,Ningbo-Zhoushan,China,Asia,China,27.42,26.35
2018,Piraeus,Greece,Mediterranean,Mediterranean,1.18,4.91
2018,Qingdao,China,Asia,China,29.61,18.26
2018,Rizhao,China,Asia,China,14.13,4
2018,Rotterdam,Netherlands,Northern Europe,Northern Europe,23.91,14.51
2018,Salalah,Oman,Middle East,Middle East,3.08,3.39
2018,Shanghai,China,Asia,China,51.82,42.01
2018,Shenzhen,China,Asia,China,33.13,27.74
2018,Singapore,Singapore,Asia,Asia,56.8,36.6
2018,Sydney,Australia,Oceania,Oceania,1.39,2.64
2018,Tanger Med,Morocco,Mediterranean,Mediterranean,2.11,3.47
2018,Tangshan,China,Asia,China,45.85,2.95
2018,Tanjung Pelepas,Malaysia,Asia,Asia,3.85,8.96
2018,Tanjung Perak,Indonesia,Asia,Asia,3.52,7.8
2018,Tanjung Priok,Indonesia,Asia,Asia,3.95,7.8
2018,Tianjin,China,Asia,China,176.74,15.9
2018,Tokyo,Japan,Asia,Asia,11.72,4.57
2018,Valencia,Spain,Mediterranean,Mediterranean,4.66,5.12
2018,Xiamen,China,Asia,China,4.05,10.7
2018,Yantai,China,Asia,China,3.44,3
2018,Yingkou,China,Asia,China,51.71,6.5
2019,Algeciras,Spain,Mediterranean,Mediterranean,2.91,5.12
2019,Barcelona,Spain,Mediterranean,Mediterranean,3.59,3.32
2019,Busan,South Korea,Asia,Asia,17.91,21.99
2019,Colombo,Sri Lanka,Asia,Asia,4.62,7.23
2019,Dalian,China,Asia,China,18.76,10.21
2019,Dubai,UAE,Middle East,Middle East,4.94,14.11
2019,Felixstowe,UK,Northern Europe,Northern Europe,1.99,3.58
2019,Genoa,Italy,Mediterranean,Mediterranean,1.71,2.62
2019,Guangzhou,China,Asia,China,32.58,23.23
2019,Hong Kong,China,Asia,China,4.44,18.3
2019,Incheon,South Korea,Asia,Asia,13.73,3.1
2019,Jawaharlal Nehru,India,Asia,Asia,2.86,5.1
2019,Jeddah,Saudi Arabia,Middle East,Middle East,4.83,4.43
2019,Karachi,Pakistan,Asia,Asia,5.25,2.09
2019,Kobe,Japan,Asia,Asia,8.07,2.87
2019,Laem Chabang,Thailand,Asia,Asia,8.95,8.1
2019,Le Havre,France,Northern Europe,Northern Europe,2.57,2.82
2019,Lianyungang,China,Asia,China,40.75,4.74
2019,Los Angeles,USA,North America,North America,2.15,9.3
2019,Manila,Philippines,Asia,Asia,2.5,5.31
2019,Mundra,India,Asia,Asia,15.4,4.73
2019,Nagoya,Japan,Asia,Asia,6.75,2.84
2019,Ningbo-Zhoushan,China,Asia,China,29.15,27.49
