Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)","Reclaimed area (km^2, smoothed)"
1995,Alexandria,Egypt,Middle East,0.79,0.79
1995,Algeciras,Spain,Mediterranean,0.96,0.91
1995,Barcelona,Spain,Mediterranean,0,0
1995,Busan,South Korea,Asia,7.31,7.12
1995,Cartagena,Colombia,Central & South America,0.95,0.95
1995,Colombo,Sri Lanka,Asia,0.36,0.43
1995,Dalian,China,Asia,1.53,1.53
1995,Dubai,UAE,Middle East,1.41,1.39
1995,Durban,South Africa,Africa,0.51,0.51
1995,Felixstowe,UK,Northern Europe,3.71,3.68
1995,Genoa,Italy,Mediterranean,0,0
1995,Guangzhou,China,Asia,10.95,10.95
1995,Yeosu Gwangyang,South Korea,Asia,0.42,0.42
1995,Hai Phong,Vietnam,Asia,3.91,3.98
1995,Haikou,China,Asia,2.6,2.6
1995,Hong Kong,China,Asia,1.41,1.41
1995,Incheon,South Korea,Asia,2.6,2.34
1995,Jeddah,Saudi Arabia,Middle East,3.44,3.43
1995,Jiaxing,China,Asia,4.14,4.39
1995,Jinzhou,China,Asia,0.37,0.37
1995,Kaohsiung,Taiwan,Asia,10.4,10.4
1995,Karachi,Pakistan,Asia,4.79,4.37
1995,Port Klang,Malaysia,Asia,0.48,0.43
1995,Dammam,Saudi Arabia,Middle East,0.84,1.01
1995,King Abdullah,Saudi Arabia,Middle East,0,0
1995,Kobe,Japan,Asia,3.61,3.37
1995,Laem Chabang,Thailand,Asia,6.41,6.41
1995,Le Havre,France,Northern Europe,1.32,1.34
1995,Lianyungang,China,Asia,6.45,6.48
1995,Lome,Togo,Africa,0.38,0.38
1995,Los Angeles,USA,North America,0.99,0.99
1995,Manila,Philippines,Asia,1.66,1.41
1995,Manzanillo,Mexico,North America,1.77,1.74
1995,Jawaharlal Nehru,India,Asia,1.98,1.41
1995,Mundra,India,Asia,3.44,3.44
1995,Nagoya,Japan,Asia,4.59,4.5
1995,Ningbo-Zhoushan,China,Asia,12.72,12.72
1995,Osaka,Japan,Asia,1.77,1.7
1995,Piraeus,Greece,Mediterranean,0.75,0.75
1995,Qingdao,China,Asia,5.64,5.7
1995,Qinzhou,China,Asia,1.3,1.3
1995,Quanzhou,China,Asia,0.77,0.71
1995,Rizhao,China,Asia,2.67,2.67
1995,Rotterdam,Netherlands,Northern Europe,12.86,12.86
1995,Said,Egypt,Middle East,0,0
1995,Salalah,Oman,Middle East,1.11,1.4
1995,Shanghai,China,Asia,25.88,25.23
1995,Shenzhen,China,Asia,7.96,7.96
1995,Singapore,Singapore,Asia,17.41,17.41
1995,Sydney,Australia,Oceania,0.86,0.86
1995,Taichung,Taiwan,Asia,17.63,17.63
1995,Taicang,China,Asia,7.99,7.99
1995,Tianjin,China,Asia,19.55,19.4
1995,Tangshan,China,Asia,32.19,32.92
1995,Tanger Med,Morocco,Mediterranean,0.17,0.17
1995,Tokyo,Japan,Asia,7.68,7.68
1995,Tanjung Priok,Indonesia,Asia,0.59,0.52
1995,Tanjung Pelepas,Malaysia,Asia,1.9,1.9
1995,Tanjung Perak,Indonesia,Asia,2.81,2.25
1995,Valencia,Spain,Mediterranean,1.45,1.56
1995,Xiamen,China,Asia,0.48,0.48
1995,Yingkou,China,Asia,9.54,9.45
1995,Yantai,China,Asia,0.45,0.49
1995,Yokohama,Japan,Asia,1.34,1.15
1995,Zhuhai,China,Asia,1.6,1.6
1996,Abu Dhabi,UAE,Middle East,14.64,14.64
1996,Alexandria,Egypt,Middle East,0.81,0.81
1996,Algeciras,Spain,Mediterranean,0.91,0.96
1996,Barcelona,Spain,Mediterranean,0,0
1996,Busan,South Korea,Asia,7.59,7.29
1996,Cartagena,Colombia,Central & South America,1.1,1.1
1996,Colombo,Sri Lanka,Asia,0.56,0.45
1996,Dalian,China,Asia,1.5,1.59
1996,Dubai,UAE,Middle East,1.45,1.39
1996,Durban,South Africa,Africa,0.52,0.52
1996,Felixstowe,UK,Northern Europe,3.72,3.68
1996,Genoa,Italy,Mediterranean,0,0
1996,Guangzhou,China,Asia,15.74,15.74
1996,Yeosu Gwangyang,South Korea,Asia,0.56,0.51
1996,Hai Phong,Vietnam,Asia,3.99,3.99
1996,Haikou,China,Asia,2.75,2.6
1996,Hong Kong,China,Asia,1.53,1.53
1996,Incheon,South Korea,Asia,2.89,2.42
1996,Jeddah,Saudi Arabia,Middle East,3.43,3.44
1996,Jiaxing,China,Asia,5.57,5.57
1996,Jinzhou,China,Asia,0.4,0.37
1996,Kaohsiung,Taiwan,Asia,10.92,10.92
1996,Karachi,Pakistan,Asia,4.67,4.37
1996,Port Klang,Malaysia,Asia,0.05,0.39
1996,Dammam,Saudi Arabia,Middle East,0.93,1.03
1996,King Abdullah,Saudi Arabia,Middle East,0,0
1996,Kobe,Japan,Asia,3.97,3.61
1996,Laem Chabang,Thailand,Asia,6.48,6.48
1996,Le Havre,France,Northern Europe,1.6,1.54
1996,Lianyungang,China,Asia,6.48,6.79
1996,Lome,Togo,Africa,0.41,0.41
1996,Los Angeles,USA,North America,1.15,1.15
1996,Manila,Philippines,Asia,1.41,1.41
1996,Manzanillo,Mexico,North America,1.74,1.74
1996,Jawaharlal Nehru,India,Asia,1.55,1.55
1996,Mundra,India,Asia,3.49,3.49
1996,Nagoya,Japan,Asia,4.59,4.59
1996,Ningbo-Zhoushan,China,Asia,12.79,12.79
1996,Osaka,Japan,Asia,1.7,1.77
1996,Piraeus,Greece,Mediterranean,0.78,0.78
1996,Qingdao,China,Asia,5.79,5.79
1996,Qinzhou,China,Asia,1.74,0
1996,Quanzhou,China,Asia,0.71,0.71
1996,Rizhao,China,Asia,2.68,2.68
1996,Rotterdam,Netherlands,Northern Europe,12.87,12.87
1996,Said,Egypt,Middle East,0,0
1996,Salalah,Oman,Middle East,1.99,1.47
1996,Shanghai,China,Asia,25.49,25.49
1996,Shenzhen,China,Asia,8.37,8.37
1996,Singapore,Singapore,Asia,17.6,17.6
1996,Sydney,Australia,Oceania,0.85,0.89
1996,Taichung,Taiwan,Asia,17.87,17.64
1996,Taicang,China,Asia,8.98,8.22
1996,Tianjin,China,Asia,19.4,19.55
1996,Tangshan,China,Asia,33.86,33.86
1996,Tanger Med,Morocco,Mediterranean,0.12,0.24
1996,Tokyo,Japan,Asia,7.78,7.78
1996,Tanjung Priok,Indonesia,Asia,0.62,0.55
1996,Tanjung Pelepas,Malaysia,Asia,1.95,1.95
1996,Tanjung Perak,Indonesia,Asia,2.55,2.51
1996,Valencia,Spain,Mediterranean,1.87,1.67
1996,Xiamen,China,Asia,0.51,0.51
1996,Yingkou,China,Asia,9.45,9.53
1996,Yantai,China,Asia,0.49,0.53
1996,Yokohama,Japan,Asia,1.15,1.15
1996,Zhuhai,China,Asia,1.65,1.65
1997,Abu Dhabi,UAE,Middle East,14.73,14.73
1997,Alexandria,Egypt,Middle East,0.84,0.84
1997,Algeciras,Spain,Mediterranean,0.97,0.97
1997,Barcelona,Spain,Mediterranean,0.75,0.63
1997,Busan,South Korea,Asia,7.12,7.31
1997,Cartagena,Colombia,Central & South America,1.12,1.1
1997,Colombo,Sri Lanka,Asia,0.69,0.46
1997,Dalian,China,Asia,2.89,2.78
1997,Dubai,UAE,Middle East,1.45,1.39
1997,Durban,South Africa,Africa,0.52,0.52
1997,Felixstowe,UK,Northern Europe,3.73,3.63
1997,Genoa,Italy,Mediterranean,0,0
1997,Guangzhou,China,Asia,16.82,16.82
1997,Yeosu Gwangyang,South Korea,Asia,0.64,0.56
1997,Hai Phong,Vietnam,Asia,4.45,4.45
1997,Haikou,China,Asia,2.89,2.6
1997,Hong Kong,China,Asia,1.54,1.54
1997,Incheon,South Korea,Asia,2.24,2.6
1997,Jeddah,Saudi Arabia,Middle East,3.67,3.67
1997,Jiaxing,China,Asia,5.65,5.65
