Year,Seaport,Country,Region,"Reclaimed area (km^2, raw)"
1995,Jiaxing,China,Asia,5.51
1995,Jinzhou,China,Asia,0.02
1995,Kaohsiung,Taiwan,Asia,10.15
1995,Karachi,Pakistan,Asia,2.09
1995,Port Klang,Malaysia,Asia,0.41
1995,Dammam,Saudi Arabia,Middle East,0.31
1995,King Abdullah,Saudi Arabia,Middle East,NaN
1995,Kobe,Japan,Asia,3.58
1995,Laem Chabang,Thailand,Asia,NaN
1995,Le Havre,France,Northern Europe,NaN
1995,Lianyungang,China,Asia,6.02
1995,Lome,Togo,Africa,NaN
1995,Los Angeles,USA,North America,0.47
1995,Manila,Philippines,Asia,0.51
1995,Manzanillo,Mexico,North America,2.15
1995,Jawaharlal Nehru,India,Asia,0.38
1995,Mundra,India,Asia,0.35
1995,Nagoya,Japan,Asia,4.03
1995,Ningbo-Zhoushan,China,Asia,12.47
1995,Osaka,Japan,Asia,1.96
1995,Piraeus,Greece,Mediterranean,0.03
1995,Qingdao,China,Asia,4.47
1995,Qinzhou,China,Asia,0.76
1995,Quanzhou,China,Asia,0.45
1995,Rizhao,China,Asia,1.29
1995,Rotterdam,Netherlands,Northern Europe,NaN
1995,Said,Egypt,Middle East,NaN
1995,Salalah,Oman,Middle East,1.28
1995,Shanghai,China,Asia,19.79
1995,Shenzhen,China,Asia,4.73
1995,Singapore,Singapore,Asia,11.42
1995,Sydney,Australia,Oceania,0.68
1995,Taichung,Taiwan,Asia,18.12
1995,Taicang,China,Asia,7.03
1995,Tianjin,China,Asia,7.02
1995,Tangshan,China,Asia,20.84
1995,Tanger Med,Morocco,Mediterranean,0.19
1995,Tokyo,Japan,Asia,7.78
1995,Tanjung Priok,Indonesia,Asia,0.37
1995,Tanjung Pelepas,Malaysia,Asia,1.31
1995,Tanjung Perak,Indonesia,Asia,1.14
1995,Valencia,Spain,Mediterranean,NaN
1995,Xiamen,China,Asia,0.91
1995,Yingkou,China,Asia,2.47
1995,Yantai,China,Asia,0.48
1995,Yokohama,Japan,Asia,1.61
1995,Zhuhai,China,Asia,0.33
1996,Abu Dhabi,UAE,Middle East,16.14
1996,Alexandria,Egypt,Middle East,NaN
1996,Algeciras,Spain,Mediterranean,NaN
1996,Barcelona,Spain,Mediterranean,NaN
1996,Busan,South Korea,Asia,3.5
1996,Cartagena,Colombia,Central & South America,1.18
1996,Colombo,Sri Lanka,Asia,NaN
1996,Dalian,China,Asia,1.28
1996,Dubai,UAE,Middle East,1.14
1996,Felixstowe,UK,Northern Europe,NaN
1996,Genoa,Italy,Mediterranean,NaN
1996,Guangzhou,China,Asia,6.84
1996,Yeosu Gwangyang,South Korea,Asia,0.55
1996,Hai Phong,Vietnam,Asia,3.48
1996,Haikou,China,Asia,1.54
1996,Hong Kong,China,Asia,1.01
1996,Incheon,South Korea,Asia,2.7
1996,Jeddah,Saudi Arabia,Middle East,NaN
1996,Jiaxing,China,Asia,7.64
1996,Jinzhou,China,Asia,0.02
1996,Kaohsiung,Taiwan,Asia,9.85
1996,Karachi,Pakistan,Asia,2.26
1996,Port Klang,Malaysia,Asia,0.01
1996,Dammam,Saudi Arabia,Middle East,0.15
